rank,members,name,url,category,city,description
1,49973,Пособие воспитателям | Игрушки в детские сады,https://vk.com/knigi_izfetra_fetrosha,"Игры, игрушки",Пермь,"Книжка из фетра — отличный помощник для развития Вашего малыша. Это игрушка точно не займет место на самом дне ящика для игрушек, ведь её отличает оригинальность исполнения и яркость.  ⭐ У нас Вы можете заказать ⭐ Для заказа звоните нам по телефону/ What""s app 📞 +79091074676, пишите в сообщения сооб"
2,49962,ЗУБНЫЕ ТЕХНИКИ 🦷,https://vk.com/dental__technician,Стоматология,Санкт-Петербург,Зубные техники / Студенты медики / Красивые фотографии зубов
3,49941,PLANTA,https://vk.com/plantabeauty,Товары для дома,,"PLANTA дарит радость в каждом моменте Наша техника работает так, как нужно именно вам: понятно, надёжно, красиво.  Создаём устройства, которые становятся частью домашней атмосферы. Они помогают навести порядок, дарят телу отдых и поддерживают уют.  PLANTA всегда рядом: в тёплых моментах, в заботе о "
4,49916,Уютное макраме | Cosymacrame | Мастер классы,https://vk.com/cosy_macrame,Творчество,,"Подробные и понятные мастер классы в формате видео, с которыми справится даже новичок!  Мастер классы доступны по подписке ВК Донат или с бессрочным доступом на сайте  Весь контент (фото, видео, тексты) представленный в данном профиле, защищен авторским правом и не подлежит копированию, распростране"
5,49836,ILIADA • Украшения с гравировкой,https://vk.com/iliadagrav,"Украшения, бижутерия ",,"А+ https://vk.cc/cJCl28  ILIADA - сближает, мирит и рождает любовь. Индивидуальные украшения с гравировкой. Напиши то, что хочешь сказать!  Уникальный подарок, который будет греть сердце вашим близким ❤  📍Гарантия 6 месяцев 📍Доставка по всей России 📍Изделия будут готовы в течение 1-3 дней  Качествен"
6,49797,PRESTIGE MODE | ЖЕНСКАЯ ОДЕЖДА | САДОВОД А2В-14,https://vk.com/kamarov.online,"Одежда, обувь",Москва,"Мы являемся крупным поставщиком одежды Ивановского Трикотажа и женские одежда пр Корея и Китай фобричного качество.  у нас вы можете найти пижаму костюм двойка тройка, штаны ВИСОКАКАЧЕСТВНАЯ. и. д.  Мы отправляем от одного вещей через любая транспортная компания который вам удобно. Также у кого есть"
7,49693,"Натуральная кожа и мех. Магазин ""Кожа-стиль""",https://vk.com/leatherstylespb,Другие товары,Санкт-Петербург,"⚡МАГАЗИН НАТУРАЛЬНОЙ КОЖИ И МЕХА ОТ ПРОИЗВОДИТЕЛЯ  Прямые поставки с кожевенных заводов России и стран СНГ. А также поставляем кожу из стран СНГ, Европы и Азии.  У нас есть два магазина в Москве и в Санкт-Петербурге. Продаем кожу для мастеров, ателье и производств. Вы можете приобрести у нас кожу от"
8,49646,Лэпбуки. Игры. Электронные шаблоны ЛэпБук,https://vk.com/club203957025,Образование,,"№7026497170 Добро пожаловать в группу❤️ Игры, лэпбуки, пособия, оформление для детских садов и школ! Здесь вы можете приобрести шаблоны развивающих пособий для самостоятельного изготовления! Шаблоны можно использовать в личных целях. Можно продавать пособия в ГОТОВОМ виде (❗️Кроме маркетплейсов!) ❗️"
9,49599,Elisir_club | Сумки и аксессуары,https://vk.com/elisir_club,"Одежда, обувь",Казань,"Магазин кожаных сумок и аксессуаров 🤍 Для тех, кто живёт насыщенной жизнью и выбирает качество.   Мы знаем, как важна сумка, когда вы — мама, профессионал, хозяйка и женщина с хорошим вкусом.  Поэтому у нас много моделей под разные роли и ситуации: удобные, красивые и продуманные до мелочей.  Чтобы "
10,49469,Твоя Йога,https://vk.com/youryogaorg,Философия,Орёл,"ЗНАНИЯ, ДОСТУПНЫЕ КАЖДОМУ: Йога, медитация, авторские практики саморазвития, инструменты роста, древние и современные методики совершенствования, опыт тысячелетий, ведическая философия, развитие психической силы, трансперсональная психология. Уникальные аудио-видео материалы для расслабления, медита"
11,49320,Твой Космос | Варганы | Глюкофоны Dzen Drum,https://vk.com/you_space,Музыкальные инструменты,Курган,"🪐 «Твой Космос» — мастерская этнических музыкальных инструментов, школа игры на варгане и глюкофоне, где создаются уникальные варганы и мелодические стальные язычковые барабаны Dzen Drum.  Наши инструменты разрабатываются по авторской технологии, что обеспечивает их неповторимый звук и оригинальный "
12,49305,mjölk [мьёльк] | Детская одежда,https://vk.com/mjolk_ru,Товары для детей,Санкт-Петербург,"ОДЕЖДА И АКСЕССУАРЫ ДЛЯ НОВОРОЖДЁННЫХ И ДЕТОК ПОСТАРШЕ:  • Комбинезоны на молнии • Пеленальные коконы • Муслин • Пелёнки, пледы, одеяла • Ползунки, боди • Платочки-слюнявчики • Круговые нагрудники • Чепчики и шапочки  Вся продукция выполняется вручную и с любовью упаковывается в нежнейшие фатиновые "
13,49206,"""Потеряшка""СПб - Центр помощи бездомным животным",https://vk.com/poteryashka_spb,Благотворительная организация,Санкт-Петербург,"Центр помощи бездомным животным ""Потеряшка"" (Санкт-Петербург) ******************************** Наш Центр — это единая картотека потерянных, найденных и отдающихся животных с диспетчерским пультом  тел. 338-80-08,  8-953-164-39-77  с 10 до 18 час  сб-вс с 10 до 17 ********************************  **"
14,49173,Rodeo Drive. Мужская одежда Пермь,https://vk.com/rodeodriveshop,"Одежда, обувь",Пермь,Каждый мужчина хоть раз в жизни должен посетить Rodeo Drive 😎   В этой группе есть вся актуальная информация о нашем магазине и товаре.   ✅ Все вопросы и ответы только через этот аккаунт: http://vk.com/rodeodrive59 💯 Это единственный представитель магазина Rodeo Drive. Остальные страницы - ФЭЙК.  📍Н
15,49089,"Не ждите чуда, чудите сами ;)",https://vk.com/romasha.club,Творчество,,"Чудеса нашего мира и рукоделия! Отличная группа для отдыха. Каждой рукодельнице нужен отдых и эта группа как раз для вас! Тут вам поднимут настроение посты с юмором, так же смогут вдохновить на великие дела посты с очень красивыми идеями рукоделия и не только."
